User ID,MTurk ID,MTurk Code,Browser,Device,Preference,Comments,Sequence,avgclicktimecmdmp,avgclicktimeribbons,avgclicktimedifference
1,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",trackpad,ribbons,What was the thing at the end? It didn't scare me because I was too in the zone working.,"Commandmap,Ribbon",1518.7667,1849.8333,331.0666
4,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0,trackpad,commandmaps,i hate you guys for the ending,"Commandmap,Ribbon",1756.1333,2269.3667,513.2334
5,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",trackpad,ribbons,WTF WAS THAT ZOMBIE!!!!!!!!!!$@%,"Ribbon,Commandmap",1582.6333,2169.8,587.1667
12,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36 OPR/16.0.1196.73",trackpad,ribbons,The hell is with the end.,"Ribbon,Commandmap",2008.3,2777.6333,769.3333
13,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",trackpad,commandmaps,creeeeepy what was that??,"Commandmap,Ribbon",1550.7667,2236.8667,686.1
14,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",trackpad,ribbons,The bold button is really picky about where to press on the regular word thing. Also didn't know that was the progress bar until I was almost done.,"Ribbon,Commandmap",1786,1948.7333,162.7333
15,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.17 (KHTML, like Gecko) Version/6.0.2 Safari/536.26.17",trackpad,ribbons,,"Commandmap,Ribbon",1972.2333,2034.1,61.8667
16,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36 OPR/16.0.1196.73",trackpad,commandmaps,"This was a deeply introspective experience. As someone who predominately uses a keyboard for all input, I often find navigating between several menus disconcerting and terrifying, and so in general I would prefer to be able to view all of the options simultaneously, even if it required losing the view of the text.","Commandmap,Ribbon",2503.3667,3070.6333,567.2666
18,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36 OPR/16.0.1196.73",trackpad,commandmaps,"that was boring and then startling. Also, I don't know what it means to answer which interface I prefer. It required fewer clicks on the one with them all expanded.","Commandmap,Ribbon",1478.9,2209.6333,730.7333
19,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,commandmaps,"One of the problems with the Ribbon interface as a compared to a typical hierarchical drop-down menu system is that it is state dependent, but that was not simulated here. In your simulation, after clicking on Zoom for example, the next test begins with the user returned to the starting view (Home). In actual use, the Ribbon is left in View after one clicks Zoom. This is helpful if one is using all the commands in the View menu, but if you are going back to formatting, then to view changes, then to Inserting things you are constantly jumping between ribbons. In a pop-down menu system, you always return to the initial state (just the menu bar). I liked your alternate UI better because I did not have to jump back and forth to ribbon pages.","Ribbon,Commandmap",1796.4333,2223.5667,427.1334
20,,,Mozilla/5.0 (Windows NT 5.1; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,ribbons,,"Commandmap,Ribbon",3261.6,2707.3333,-554.2667
21,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",trackpad,commandmaps,whyyyyyyyyyyyy,"Ribbon,Commandmap",1717.8667,2372.7333,654.8666
22,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,love it,"Commandmap,Ribbon",1235.8667,1621.3333,385.4666
23,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36 OPR/16.0.1196.80",trackpad,commandmaps,sup,"Commandmap,Ribbon",1532.1333,1786.3333,254.2
38,A2QLSHXNCHBRN4,49af,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,mouse,commandmaps,,"Commandmap,Ribbon",2311.4,2038.5,-272.9
39,A2YFPO0N4GIS25,1f33,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,ribbons,,"Commandmap,Ribbon",1468.7667,2862.5667,1393.8
