user,avgclicktime,which,dev
1,1849.8333,rb,trackpad
4,2269.3667,rb,trackpad
5,2169.8,rb,trackpad
12,2777.6333,rb,trackpad
13,2236.8667,rb,trackpad
14,1948.7333,rb,trackpad
15,2034.1,rb,trackpad
16,3070.6333,rb,trackpad
18,2209.6333,rb,trackpad
19,2223.5667,rb,mouse
20,2707.3333,rb,mouse
21,2372.7333,rb,trackpad
22,1621.3333,rb,mouse
23,1786.3333,rb,trackpad
38,2038.5,rb,mouse
39,2862.5667,rb,mouse
40,2964.4333,rb,trackpad
42,2212.0667,rb,mouse
44,2141,rb,mouse
45,2809.4,rb,trackpad
49,2957.1667,rb,trackpad
50,2197.5667,rb,mouse
51,2768.2333,rb,mouse
52,3050.4,rb,mouse
56,3312.1667,rb,mouse
57,1886.4333,rb,mouse
58,2569.1,rb,trackpad
59,2027.5667,rb,mouse
60,3353.5667,rb,mouse
65,3011.6,rb,mouse
66,2762.5667,rb,mouse
68,1728.7,rb,mouse
69,3624.3667,rb,mouse
79,2317.8667,rb,mouse
82,1617.8667,rb,mouse
83,2622.8333,rb,trackpad
85,2821,rb,trackpad
87,2403.8667,rb,trackpad
91,2441.4667,rb,trackpad
95,2884.5333,rb,trackpad
97,1696.0333,rb,mouse
99,2256.0667,rb,trackpad
100,2726.0667,rb,trackpad
101,1972.9,rb,trackpad
104,3184.9,rb,mouse
109,2872.5333,rb,trackpad
110,1709.9667,rb,mouse
112,2651.7,rb,trackpad
113,2069.3333,rb,mouse
118,2365.1,rb,trackpad
125,2490.5333,rb,trackpad
127,2992.5,rb,trackpad
133,2386.2667,rb,trackpad
134,2952.1667,rb,trackpad
135,2236.6667,rb,mouse
136,2909.9,rb,trackball
140,1866.5,rb,mouse
141,2222.6667,rb,trackpad
142,2660.4667,rb,trackpad
152,2102.4,rb,trackpad
156,3082.6,rb,trackpad
160,2467.7667,rb,trackpad
164,3151.0333,rb,trackpad
165,2341.3,rb,trackpad
168,1758.1667,rb,mouse
169,1453.9,rb,mouse
170,2754.6333,rb,trackpad
173,2195.3667,rb,mouse
174,1908.8333,rb,trackpad
179,1977.6,rb,trackpad
180,2311.2667,rb,mouse
1,1518.7667,cmd,trackpad
4,1756.1333,cmd,trackpad
5,1582.6333,cmd,trackpad
12,2008.3,cmd,trackpad
13,1550.7667,cmd,trackpad
14,1786,cmd,trackpad
15,1972.2333,cmd,trackpad
16,2503.3667,cmd,trackpad
18,1478.9,cmd,trackpad
19,1796.4333,cmd,mouse
20,3261.6,cmd,mouse
21,1717.8667,cmd,trackpad
22,1235.8667,cmd,mouse
23,1532.1333,cmd,trackpad
38,2311.4,cmd,mouse
39,1468.7667,cmd,mouse
40,1903.4,cmd,trackpad
42,1816.3333,cmd,mouse
44,2059.7333,cmd,mouse
45,1859.1667,cmd,trackpad
49,1730.5,cmd,trackpad
50,1788.5333,cmd,mouse
51,1702.7667,cmd,mouse
52,1742.9,cmd,mouse
56,1963.2,cmd,mouse
57,1666.4333,cmd,mouse
58,1955.3333,cmd,trackpad
59,1521.4,cmd,mouse
60,5208.9667,cmd,mouse
65,2099.2,cmd,mouse
66,1684.0667,cmd,mouse
68,1679.2667,cmd,mouse
69,1899.5333,cmd,mouse
79,1545.3667,cmd,mouse
82,1297.3,cmd,mouse
83,1780.8333,cmd,trackpad
85,1758.6333,cmd,trackpad
87,1575.3667,cmd,trackpad
91,1867.3,cmd,trackpad
95,1991.9,cmd,trackpad
97,1260.7667,cmd,mouse
99,1491.5,cmd,trackpad
100,1987.3,cmd,trackpad
101,1637.6667,cmd,trackpad
104,1956.9667,cmd,mouse
109,1854.3333,cmd,trackpad
110,1609.4333,cmd,mouse
112,1595.4333,cmd,trackpad
113,1355.9667,cmd,mouse
118,1727.4333,cmd,trackpad
125,1828.9333,cmd,trackpad
127,1830.9667,cmd,trackpad
133,1967.0333,cmd,trackpad
134,2189.3,cmd,trackpad
135,1784,cmd,mouse
136,1818.5333,cmd,trackball
140,1659.6,cmd,mouse
141,1578.3667,cmd,trackpad
142,1650.4,cmd,trackpad
152,1443.5667,cmd,trackpad
156,2313.3333,cmd,trackpad
160,1779.8667,cmd,trackpad
164,2300.7667,cmd,trackpad
165,1479.9333,cmd,trackpad
168,1193.9333,cmd,mouse
169,1160.5,cmd,mouse
170,1529.0333,cmd,trackpad
173,3457.6333,cmd,mouse
174,1472.1,cmd,trackpad
179,1592.3,cmd,trackpad
180,2063.9333,cmd,mouse
